01310-200,São Paulo,,Brazil
0250,Oslo,,Norway
10019,New York,NY,USA
10028,New York,NY,USA
10128,New York,NY,USA
1014,Budapest,,Hungary
1071 DJ,Amsterdam,,Netherlands
1071 XX,Amsterdam,,Netherlands
110 15,Nové Měst,,Czechia
119019,Moscow,,Russia
190000,2,Sankt-Peterburg,Russia
19130,Philadelphia,PA,USA
20004,Washington,DC,USA
20009,Washington,DC,USA
20565,Washington,DC,USA
2115,Boston,MA,USA
21201,Baltimore,MD,USA
23510,Norfolk,VA,USA
2511,Den Haag,,Netherlands
28014,Madrid,,Spain
3004,Melbourne,Victoria,Australia
3011,Bern,,Switzerland
43215,Columbus,OH,USA
43620,Toledo,OH,USA
44106,Cleveland,OH,USA
46208,Indianapolis,IN,USA
50122,Firenze,FL,Italy
54000,Nancy,,France
60603,Chicago,IL,USA
63001,St. Louis,MO,USA
64111,Kansas City,MO,USA
710-8575,Kurashiki,Okayama,Japan
75007,Paris,,France
75016,Paris,,France
75201,Dallas,TX,USA
76107,Fort Worth,TX,USA
77005,Houston,TX,USA
8001,Zurich,,Switzerland
90036,Los Angeles,CA,USA
90049,Los Angeles,CA,USA
91105,Pasadena,CA,USA
94121,San Francisco,CA,USA
CF10 3NP,Cardiff,Wales,UK
L3 8EL,Liverpool,,UK
SW1P 4RG,London,England,UK
WC2N 5DN,London,England,UK
WC2R 0RN,Stran,London,UK
